league,team,season,games,wins,draws,losses,pts_total,avg_res_for_game,year_of_foundation
Ligue 1,Lille OSC,2021-2022,38,14,13,11,48.0,1.4473684210526316,1944
Ligue 1,Lille OSC,2022-2023,38,19,10,9,65.0,1.763157894736842,1944
Ligue 1,Lille OSC,2023-2024,34,16,11,7,52.0,1.7352941176470589,1944
Ligue 1,Lille OSC,2024-2025,34,17,9,8,52.0,1.7647058823529411,1944
Ligue 1,Montpellier HSC,2021-2022,38,12,7,19,49.0,1.131578947368421,1919
Ligue 1,Montpellier HSC,2022-2023,38,15,5,18,65.0,1.3157894736842106,1919
Ligue 1,Montpellier HSC,2023-2024,34,10,12,12,43.0,1.2352941176470589,1919
Ligue 1,Montpellier HSC,2024-2025,33,4,4,25,23.0,0.48484848484848486,1919
Ligue 1,Olympique Lyonnais,2021-2022,38,17,11,10,66.0,1.631578947368421,1899
Ligue 1,Olympique Lyonnais,2022-2023,38,18,8,12,65.0,1.631578947368421,1899
Ligue 1,Olympique Lyonnais,2023-2024,34,16,5,13,49.0,1.5588235294117647,1899
Ligue 1,Olympique Lyonnais,2024-2025,34,17,6,11,65.0,1.6764705882352942,1899
Ligue 1,Olympique de Marseille,2021-2022,38,21,8,9,63.0,1.868421052631579,1899
Ligue 1,Olympique de Marseille,2022-2023,38,22,7,9,67.0,1.9210526315789473,1899
Ligue 1,Olympique de Marseille,2023-2024,34,13,11,10,52.0,1.4705882352941178,1899
Ligue 1,Olympique de Marseille,2024-2025,34,20,5,9,74.0,1.911764705882353,1899
Ligue 1,Paris Saint-Germain FC,2021-2022,38,26,8,4,90.0,2.263157894736842,1970
Ligue 1,Paris Saint-Germain FC,2022-2023,38,27,4,7,89.0,2.236842105263158,1970
Ligue 1,Paris Saint-Germain FC,2023-2024,34,22,10,2,81.0,2.235294117647059,1970
Ligue 1,Paris Saint-Germain FC,2024-2025,34,26,6,2,92.0,2.4705882352941178,1970
Ligue 1,RC Strasbourg Alsace,2021-2022,38,17,12,9,60.0,1.6578947368421053,1906
Ligue 1,RC Strasbourg Alsace,2022-2023,38,9,13,16,51.0,1.0526315789473684,1906
Ligue 1,RC Strasbourg Alsace,2023-2024,34,10,9,15,38.0,1.1470588235294117,1906
Ligue 1,RC Strasbourg Alsace,2024-2025,34,16,9,9,56.0,1.6764705882352942,1906
Ligue 1,Stade Brestois 29,2021-2022,38,13,9,16,49.0,1.263157894736842,1950
Ligue 1,Stade Brestois 29,2022-2023,38,11,11,16,44.0,1.1578947368421053,1950
Ligue 1,Stade Brestois 29,2023-2024,34,17,10,7,53.0,1.7941176470588236,1950
Ligue 1,Stade Brestois 29,2024-2025,34,15,5,14,52.0,1.4705882352941178,1950
Ligue 1,Stade de Reims,2021-2022,76,22,26,28,86.0,1.2105263157894737,1931
Ligue 1,Stade de Reims,2022-2023,76,24,30,22,90.0,1.3421052631578947,1931
Ligue 1,Stade de Reims,2023-2024,68,26,16,26,84.0,1.3823529411764706,1931
Ligue 1,Stade de Reims,2024-2025,68,16,18,34,66.0,0.9705882352941176,1931
Ligue 1,Toulouse FC,2022-2023,38,13,9,16,51.0,1.263157894736842,1937
Ligue 1,Toulouse FC,2023-2024,34,11,10,13,42.0,1.2647058823529411,1937
Ligue 1,Toulouse FC,2024-2025,34,11,9,14,44.0,1.2352941176470589,1937
Premier League,AFC Bournemouth,2022-2023,38,11,6,21,37.0,1.0263157894736843,1899
Premier League,AFC Bournemouth,2023-2024,38,13,9,16,54.0,1.263157894736842,1899
Premier League,AFC Bournemouth,2024-2025,38,15,11,12,58.0,1.4736842105263157,1899
Premier League,Arsenal FC,2021-2022,38,22,3,13,61.0,1.8157894736842106,1886
Premier League,Arsenal FC,2022-2023,38,26,6,6,88.0,2.210526315789474,1886
Premier League,Arsenal FC,2023-2024,38,28,5,5,91.0,2.3421052631578947,1886
Premier League,Arsenal FC,2024-2025,38,20,14,4,69.0,1.9473684210526316,1886
Premier League,Aston Villa FC,2021-2022,38,13,6,19,52.0,1.1842105263157894,1874
Premier League,Aston Villa FC,2022-2023,38,18,7,13,51.0,1.605263157894737,1874
Premier League,Aston Villa FC,2023-2024,38,20,8,10,76.0,1.7894736842105263,1874
Premier League,Aston Villa FC,2024-2025,38,19,9,10,58.0,1.736842105263158,1874
Premier League,Brentford FC,2021-2022,38,13,7,18,48.0,1.2105263157894737,1889
Premier League,Brentford FC,2022-2023,38,15,14,9,58.0,1.5526315789473684,1889
Premier League,Brentford FC,2023-2024,38,10,9,19,56.0,1.0263157894736843,1889
Premier League,Brentford FC,2024-2025,38,16,8,14,66.0,1.4736842105263157,1889
Premier League,Brighton & Hove Albion FC,2021-2022,38,12,15,11,42.0,1.3421052631578947,1901
Premier League,Brighton & Hove Albion FC,2022-2023,38,18,8,12,72.0,1.631578947368421,1901
Premier League,Brighton & Hove Albion FC,2023-2024,38,12,12,14,55.0,1.263157894736842,1901
Premier League,Brighton & Hove Albion FC,2024-2025,38,16,13,9,66.0,1.605263157894737,1901
Premier League,Chelsea FC,2021-2022,38,21,11,6,76.0,1.9473684210526316,1905
Premier League,Chelsea FC,2022-2023,38,11,11,16,38.0,1.1578947368421053,1905
